emp_id,first_nm,last_nm,Email,DOB,Gender,Ph_Num,Hire_Date,Primary_Skill,dept_nm,Designation,management_level,ingest_timestamp,load_key
E01001,Erica,Woods,eharris@example.org,9/23/1980,Female,593168,6/6/2022,Security - Application,Cybersecurity,Manager,7,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01002,Vernon,Harrington,morankenneth@example.net,5/20/1999,M,193124230,1/17/2018,Technical_Product_Knowledge,Sales_Marketing,Junior Associate,12,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01003,Russell,Franco,shane82@example.com,11/4/1972,Male,5230259979,8/22/2012,Budgeting_Forecasting,Finance_Accounting,Associate,11,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01004,Joseph,Anderson,tranvictor@example.com,10/23/1967,M,8014421223,9/10/2010,Cloud Platform - Azure,IT_Operations,Senior Associate,10,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01005,Kimberly,Richardson,smithkristina@example.net,11/24/1967,M,624973431,4/26/2022,Visualization - Power_BI,Data_Analytics,Tech Lead,9,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01006,Meghan,Woodward,qsnow@example.net,4/28/1962,F,8942375468,2/14/2015,Version Control - Git,Software_Development,Associate,11,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01007,Ronnie,Hicks,ricardoweiss@example.net,6/14/1960,M,6285343327,10/17/2013,Security - Network,Cybersecurity,HR,8,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01008,Lisa,Lopez,jacksonjohn@example.com,10/20/1961,M,7378835200,9/5/2016,Cloud Platform - Azure,IT_Operations,Junior Associate,12,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01009,Kimberly,Porter,vancedavid@example.org,2/20/1992,F,8005001502,8/7/2022,Financial_Reporting,Finance_Accounting,Manager,7,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01010,Mason,Matthews,edward05@example.org,11/5/1994,M,7464418108,9/25/2015,Server Admin - Windows,IT_Operations,Associate,11,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01011,Jennifer,Durham,fschultz@example.net,2/16/1969,F,6053609754,2/11/2022,Payroll_Management,Human_Resources,Junior Associate,12,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01012,Christina,Johnson,johndennis@example.net,12/30/1992,F,6531343207,11/17/2020,Financial_Reporting,Finance_Accounting,Associate,11,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01013,Amanda,Dillon,ncrawford@example.net,2/20/1995,F,4575095942,2/19/2017,Visualization - Power_BI,Data_Analytics,Junior Associate,12,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01014,Amber,Perez,cookfrances@example.org,11/29/1993,F,4443978917,7/29/2015,Payroll_Management,Human_Resources,Manager,7,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01015,Danielle,Berger,patriciamcguire@example.com,11/2/1979,M,8222402470,6/23/2018,Security - Application,Cybersecurity,Associate,11,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
E01016,Shelly,Marshall,richardsonlarry@example.net,6/1/1961,F,8391103482,4/13/2012,Server Admin - Windows,IT_Operations,Senior Associate,10,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
