emp_id,first_nm,last_nm,email,DOB,Gender,ph_num,hire_date,primary_skill,dept_nm,designation,management_level,ingest_timestamp,load_key
E00001,Nathaniel,Taylor,jacobsuarez@example.net,5/17/1986,M,1235520394,9/19/2010,Programming - Python,Software_Development,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00002,Robert,Moore,diana95@example.net,2/9/1999,M,6526726187,11/7/2021,Server Admin - Linux,IT_Operations,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00003,Diana,Montoya,raymondjones@example.net,2/1/1966,F,5692789338,3/10/2015,Data_Analysis - R,Data_Analytics,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00004,Erin,Lopez,paul60@example.net,3/28/1962,F,6181730138,5/12/2016,Risk_Management,Cybersecurity,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00005,Anna,Hernandez,jill21@example.net,7/17/1988,M,1711799972,11/27/2024,Recruitment - Sourcing,Human_Resources,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00006,Terry,Williams,ievans@example.com,12/9/1975,M,137035034,6/16/2014,Budgeting_Forecasting,Finance_Accounting,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00007,Christopher,Proctor,nlopez@example.net,2/8/1978,M,7638912648,5/30/2013,Customer_Service - Email,Customer_Support,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00008,Sandra,Rodgers,emily60@example.com,5/28/1961,F,5714878909,3/29/2013,Agile - Scrum,Product_Management,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00009,Mary,Orr,lpalmer@example.com,6/20/1995,F,5343896259,6/7/2010,Tools - Selenium,Quality_Assurance,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00010,Zoe,Hendricks,sheltontimothy@example.org,10/25/1987,F,1144019594,10/14/2023,Digital_Marketing - SEO,Sales_Marketing,Senior Manager,6,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00011,Maria,Gordon,ellisonkendra@example.org,3/31/1987,M,2561152902,6/4/2016,Campaign_Management,Sales_Marketing,Associate,11,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00012,Robert,Brown,dilloncruz@example.org,9/4/1986,M,3474971183,8/28/2014,Bug_Tracking,Quality_Assurance,Tech Lead,9,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00013,Kenneth,Hall,amandamoore@example.net,7/5/1989,M,6755789358,4/15/2020,Escalation_Management,Customer_Support,Associate,11,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00014,James,Bolton,connerjennifer@example.org,5/10/1966,M,4255817532,1/25/2021,HRIS_Systems,Human_Resources,Manager,7,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00015,Kathryn,Sanchez,greenjoseph@example.net,8/1/1969,F,815007428,4/29/2017,Version Control - Git,Software_Development,Manager,7,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00016,Brandon,Walker,ghoffman@example.com,11/15/1992,M,9816452014,10/16/2013,Visualization - Tableau,Data_Analytics,HR,8,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00017,Emily,Coleman,evanharris@example.org,2/17/1991,F,7977521298,2/15/2015,Agile - Scrum,Product_Management,Senior Associate,10,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00018,Matthew,Davis,johnbecker@example.org,7/21/1989,M,5722193277,1/5/2016,Campaign_Management,Sales_Marketing,Associate,11,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00019,Ann,Orozco,taustin@example.net,9/1/1976,F,2374465248,3/1/2021,Recruitment - Sourcing,Human_Resources,Associate,11,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00020,Ann,Williams,wstewart@example.org,12/3/1967,F,4797089491,1/29/2015,Digital_Marketing - SEM,Sales_Marketing,Tech Lead,9,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00021,Melissa,Allen,rebecca93@example.com,10/31/1973,F,2073335523,9/6/2024,Network Management,IT_Operations,Manager,7,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00022,Amy,Fletcher,michellemcintyre@example.org,8/2/1976,F,1723671158,8/25/2017,Server Admin - Linux,IT_Operations,HR,8,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00023,Zachary,Bailey,brownnathan@example.net,1/16/1974,M,7675122738,6/7/2022,Network Management,IT_Operations,HR,8,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00024,Eric,Torres,rgates@example.net,4/28/1985,M,5145765620,6/17/2012,Version Control - Git,Software_Development,Senior Associate,10,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00025,Christopher,Rose,fwilson@example.org,8/25/1995,M,7924689084,4/11/2019,Data_Analysis - R,Data_Analytics,Tech Lead,9,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00026,Cesar,Gonzalez,vgarcia@example.com,12/3/1986,M,8244343876,5/9/2019,Server Admin - Linux,IT_Operations,Manager,7,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00027,Amber,Thomas,cobbmelissa@example.org,10/1/1970,M,2035158768,3/3/2015,Programming - Java,Software_Development,Associate,11,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
E00028,Robert,Jones,dward@example.com,10/8/1986,M,5496548281,6/2/2015,Requirement_Gathering,Product_Management,Tech Lead,9,2026-06-23 11:40:57.865495,LCK_20260623_114057_XAJI0Y
